level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,page
5,1,1,1,1,1,604,305,12,24,96.971855,I,1
5,1,2,1,1,1,469,363,283,25,96.139603,INTRODUCTION,1
5,1,2,1,2,1,304,416,14,30,31.497192,§,1
5,1,2,1,2,2,331,424,20,16,31.497192,1.,1
5,1,2,1,2,3,372,416,46,24,96.137398,The,1
5,1,2,1,2,4,431,415,54,25,96.693214,Two,1
5,1,2,1,2,5,498,416,127,24,96.696762,Conditions,1
5,1,2,1,2,6,636,415,25,33,94.416222,of,1
5,1,2,1,2,7,669,424,30,16,94.416222,an,1
5,1,2,1,2,8,711,415,111,25,95.948486,Aesthetic,1
5,1,2,1,2,9,833,415,85,32,95.820953,Theory,1
5,1,3,1,1,1,211,467,58,24,48.534008,Tue,1
5,1,3,1,1,2,282,466,108,24,96.782402,business,1
5,1,3,1,1,3,402,465,29,25,96.982231,of,1
5,1,3,1,1,4,441,465,47,24,96.785683,this,1
5,1,3,1,1,5,498,465,66,25,96.303093,book,1
5,1,3,1,1,6,573,465,19,25,96.303093,is,1
5,1,3,1,1,7,603,470,25,20,96.762657,to,1
5,1,3,1,1,8,638,473,92,17,96.969879,answer,1
5,1,3,1,1,9,739,465,43,24,96.592125,the,1
5,1,3,1,1,10,793,465,122,33,94.770638,question:,1
5,1,3,1,1,11,936,465,77,37,94.770638,What,1
5,1,3,1,2,1,211,502,25,35,95.322906,is,1
5,1,3,1,2,2,239,502,53,32,95.322906,art?,1
5,1,3,2,1,1,239,529,29,33,68.860252,‘A,1
5,1,3,2,1,2,279,536,150,34,87.961868,question.of,1
5,1,3,2,1,3,435,537,47,25,95.772713,this,1
5,1,3,2,1,4,493,536,61,25,96.949562,kind,1
5,1,3,2,1,5,564,537,42,24,96.740051,has,1
5,1,3,2,1,6,618,542,24,19,96.740051,to,1
5,1,3,2,1,7,654,537,30,24,96.974983,be,1
5,1,3,2,1,8,694,537,140,26,96.705475,answered,1
5,1,3,2,1,9,829,546,25,15,96.957359,in,1
5,1,3,2,1,10,865,542,48,19,96.440491,two,1
5,1,3,2,1,11,924,533,87,53,96.458496,stages.,1
5,1,3,2,2,1,212,574,69,30,96.844551,"First,",1
5,1,3,2,2,2,287,582,36,16,96.834518,we,1
5,1,3,2,2,3,330,578,66,20,96.502907,must,1
5,1,3,2,2,4,403,573,71,24,96.97718,make,1
5,1,3,2,2,5,484,581,54,16,96.879753,sure,1
5,1,3,2,2,6,546,573,52,24,96.625153,that,1
5,1,3,2,2,7,606,573,41,24,96.144188,the,1
5,1,3,2,2,8,656,573,46,32,96.144188,key,1
5,1,3,2,2,9,709,573,69,24,96.848869,word,1
5,1,3,2,2,10,787,573,35,32,95.854561,(in,1
5,1,3,2,2,11,830,573,48,25,96.958061,this,1
5,1,3,2,2,12,887,581,53,16,93.218643,case,1
5,1,3,2,2,13,950,573,62,32,89.757233,‘art’),1
5,1,3,2,3,1,210,608,20,33,93.039017,is,1
5,1,3,2,3,2,244,607,16,27,96.424835,a,1
5,1,3,2,3,3,269,609,67,30,96.364532,word,1
5,1,3,2,3,4,348,608,79,25,96.759583,which,1
5,1,3,2,3,5,439,617,37,16,96.728554,we,1
5,1,3,2,3,6,489,609,73,24,96.919243,know,1
5,1,3,2,3,7,575,609,55,24,96.810822,how,1
5,1,3,2,3,8,643,614,25,19,96.863457,to,1
5,1,3,2,3,9,682,609,74,33,96.623459,apply,1
5,1,3,2,3,10,768,609,87,29,96.060883,where,1
5,1,3,2,3,11,863,609,18,24,96.060883,it,1
5,1,3,2,3,12,894,609,79,33,96.846985,ought,1
5,1,3,2,3,13,987,606,25,27,97.007744,to,1
5,1,3,2,4,1,211,637,30,33,96.883423,be,1
5,1,3,2,4,2,243,639,102,40,96.733658,applied,1
5,1,3,2,4,3,353,644,47,25,97.001457,and,1
5,1,3,2,4,4,409,644,79,25,96.950912,refuse,1
5,1,3,2,4,5,496,644,95,25,96.938545,where,1
5,1,3,2,4,6,585,649,19,20,96.943611,it,1
5,1,3,2,4,7,612,645,79,32,96.788071,ought,1
5,1,3,2,4,8,699,649,26,20,96.117119,to,1
5,1,3,2,4,9,734,645,31,24,96.912727,be,1
5,1,3,2,4,10,774,636,104,41,94.203918,refused.,1
5,1,3,2,4,11,899,645,23,24,94.514366,It,1
5,1,3,2,4,12,930,644,96,25,58.111591,would’,1
5,1,3,2,5,1,211,678,42,28,95.980072,not,1
